X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost,GlobalID
1759653.3042,5436026.4552,109717,Lower Hutt,ChargeNet NZ,ChargeNet NZ,"1 Stevens Grove, Lower Hutt 5010, New Zealand",True,1,False,Unlimited,False,-41.211402,174.904391,DC,2016/08/25 00:00:00+00,4,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True,{4A387AE3-42C2-423D-A4C1-08A16735BE9C}
1751224.6667,5434922.4866,109718,Johnsonville,ChargeNet NZ,ChargeNet NZ,"Wanaka St, Wellington 6037, New Zealand",True,1,False,Unlimited,False,-41.22296,174.804174,DC,2020/12/01 00:00:00+00,8,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:3},{DC, 25 kW, CHAdeMO, Status: Inoperative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{DC, 25 kW, Type 2 CCS, Status: Inoperative, Count:1}",True,{F881427C-F90D-48EF-952D-FDD19E014DAB}
1756987.1624,5434706.3997,109719,Petone,ChargeNet NZ,ChargeNet NZ,"114-124 Jackson St, Lower Hutt 5012, New Zealand",True,1,False,Unlimited,False,-41.223808,174.872944,DC,2019/08/28 00:00:00+00,4,"{DC, 25 kW, Type 2 CCS, Status: Inoperative, Count:2},{DC, 25 kW, CHAdeMO, Status: Inoperative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1}",True,{2F15BDE7-CFFE-4A8A-BAAE-C5069D2D500B}
1526982.6122,5432965.4757,109720,Karamea,ChargeNet NZ,ChargeNet NZ,"103 Bridge Street, Karamea 7893, NZ",True,1,False,Unlimited,False,-41.251426,172.128479,DC,2019/01/11 00:00:00+00,2,"{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1}",True,{A369CB94-7D59-4D20-82AC-67A3B36E8798}
1623852.9116,5431219.8021,109721,Nelson,ChargeNet NZ,Network Tasman Ltd,"81 Trafalgar Street, Nelson 7010, NZ",True,1,False,Unlimited,False,-41.270097,173.284786,Mixed,2018/08/01 00:00:00+00,3,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{AC, 43 kW, Type 2 Tethered, Status: Operative, Count:1}",True,{C855A9FA-E120-438D-B8ED-E0376A79B58F}
1623226.5542,5430586.1507,109722,Nelson,ChargeNet NZ,ChargeNet NZ,"75 Vanguard St, Nelson 7010, NZ",True,1,False,Unlimited,False,-41.275823,173.277332,DC,2018/08/14 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{D2E42D30-FF98-4324-923B-DBEF0C47A40D}
1664223.3548,5430106.6634,109723,Havelock,ChargeNet NZ,ChargeNet NZ,"68 Main Rd, Havelock 7100, NZ",True,1,False,Unlimited,False,-41.277922,173.766868,DC,2018/05/31 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{61D7E24D-CA16-4B5C-A970-744FE9624346}
1747166.607,5428848.2797,109724,Rodney St,ChargeNet NZ,ChargeNet NZ,"Rodney St, Wellington 6012, NZ",True,1,False,Unlimited,False,-41.278398,174.757247,AC,2019/10/04 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{11F5CD51-3B9A-4A52-9A2A-654E8AAAB94C}
1745553.5785,5428279.6582,109725,Karori,ChargeNet NZ,ChargeNet NZ,"236 Karori Rd, Wellington 6012, New Zealand",True,1,False,Unlimited,False,-41.28381,174.738131,DC,2019/09/06 00:00:00+00,2,"{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1}",True,{1B6C2D8E-EE8B-42C8-9870-7914F1DDB8B5}
1748732.8369,5428127.6757,109726,Grey Street,ChargeNet NZ,Contact Energy Ltd,"Grey Street, Wellington 6011, NZ",True,1,False,Unlimited,False,-41.284599,174.776116,DC,2018/08/28 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True,{0E08CD5D-5E41-40BB-AA61-EF1486F99F77}
